"GAME_ID","INN_CT","BAT_HOME_ID","OUTS_CT","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","BAT_ID","BAT_HAND_CD","RESP_BAT_ID","RESP_BAT_HAND_CD","PIT_ID","PIT_HAND_CD","RESP_PIT_ID","RESP_PIT_HAND_CD","EVENT_TX","PH_FL","BAT_LINEUP_ID","EVENT_CD","BAT_EVENT_FL","AB_FL","REMOVED_FOR_PH_BAT_ID","REMOVED_FOR_PH_BAT_FLD_CD"
"ANA201904040",1,0,0,2,2,"FBBCH","choos001","L","choos001","L","harvm001","R","harvm001","R","HP","F",1,16,"T","F","",0
"ANA201904040",1,0,0,1,2,"BFSS","odorr001","L","odorr001","L","harvm001","R","harvm001","R","K","F",2,3,"T","T","",0
"ANA201904040",1,0,1,1,2,"CCBX","andre001","R","andre001","R","harvm001","R","harvm001","R","S9/L9S+.1-2","F",3,20,"T","T","",0
"ANA201904040",1,0,1,0,0,"X","gallj002","L","gallj002","L","harvm001","R","harvm001","R","HR/F89XD+.2-H;1-H","F",4,23,"T","T","",0
"ANA201904040",1,0,1,3,0,"BBBB","cabra002","L","cabra002","L","harvm001","R","harvm001","R","W","F",5,14,"T","F","",0
"ANA201904040",1,0,1,1,2,"SSBX","guzmr001","L","guzmr001","L","harvm001","R","harvm001","R","HR/L9LD+.1-H","F",6,23,"T","T","",0
"ANA201904040",1,0,1,1,2,"BCSS","forsl001","R","forsl001","R","harvm001","R","harvm001","R","K","F",7,3,"T","T","",0
"ANA201904040",1,0,2,0,1,"CX","kinei001","R","kinei001","R","harvm001","R","harvm001","R","S7/G56+","F",8,20,"T","T","",0
"ANA201904040",1,0,2,1,2,"CB11FT","deshd002","R","deshd002","R","harvm001","R","harvm001","R","K","F",9,3,"T","T","",0
"ANA201904040",1,1,0,3,1,"BFBBX","calhk001","L","calhk001","L","volqe001","R","volqe001","R","HR/F89XD+","F",1,23,"T","T","",0
"ANA201904040",1,1,0,0,0,"X","troum001","R","troum001","R","volqe001","R","volqe001","R","S6/G6+","F",2,20,"T","T","",0
"ANA201904040",1,1,0,3,2,"CBF1B*B*B","bourj002","L","bourj002","L","volqe001","R","volqe001","R","W.1-2","F",3,14,"T","F","",0
"ANA201904040",1,1,0,0,2,"FLFS","simma001","R","simma001","R","volqe001","R","volqe001","R","K","F",4,3,"T","T","",0
"ANA201904040",1,1,1,3,1,"CBBBB","pujoa001","R","pujoa001","R","volqe001","R","volqe001","R","W.2-3;1-2","F",5,14,"T","F","",0
"ANA201904040",1,1,1,0,1,"CX","lastt001","L","lastt001","L","volqe001","R","volqe001","R","36(1)1/GDP/G34S","F",6,2,"T","T","",0
"ANA201904040",2,0,0,1,1,"BCX","choos001","L","choos001","L","harvm001","R","harvm001","R","S8/L8RM+","F",1,20,"T","T","",0
"ANA201904040",2,0,0,1,2,"CBSS","odorr001","L","odorr001","L","harvm001","R","harvm001","R","K","F",2,3,"T","T","",0
"ANA201904040",2,0,1,1,2,"11CBSC","andre001","R","andre001","R","harvm001","R","harvm001","R","K","F",3,3,"T","T","",0
"ANA201904040",2,0,2,2,2,"S*BSBX","gallj002","L","gallj002","L","harvm001","R","harvm001","R","43/G3D","F",4,2,"T","T","",0
"ANA201904040",2,1,0,1,2,"BCFX","lucrj001","R","lucrj001","R","volqe001","R","volqe001","R","63/G6M","F",7,2,"T","T","",0
"ANA201904040",2,1,1,0,2,"CSS","goodb001","L","goodb001","L","volqe001","R","volqe001","R","K","F",8,3,"T","T","",0
"ANA201904040",2,1,2,1,2,"CSFBX","cozaz001","R","cozaz001","R","volqe001","R","volqe001","R","7/F7D","F",9,2,"T","T","",0
"ANA201904040",3,0,0,0,2,"..CFX","cabra002","L","cabra002","L","harvm001","R","harvm001","R","63/G6M","F",5,2,"T","T","",0
"ANA201904040",3,0,1,1,2,"CBFX","guzmr001","L","guzmr001","L","harvm001","R","harvm001","R","D9/L3D+","F",6,21,"T","T","",0
"ANA201904040",3,0,1,0,2,"CFX","forsl001","R","forsl001","R","harvm001","R","harvm001","R","S8/L8RS+.2XH(82/TH);B-2(TH)","F",7,20,"T","T","",0
"ANA201904040",3,0,2,3,2,"BBFFBX","kinei001","R","kinei001","R","harvm001","R","harvm001","R","D8/L78S.2-H","F",8,21,"T","T","",0
"ANA201904040",3,0,2,1,2,"CFBFH","deshd002","R","deshd002","R","harvm001","R","harvm001","R","HP","F",9,16,"T","F","",0
"ANA201904040",3,0,2,1,1,"BSX","choos001","L","choos001","L","harvm001","R","harvm001","R","9/F9D+","F",1,2,"T","T","",0
"ANA201904040",3,1,0,3,2,"SBBFBFC","calhk001","L","calhk001","L","volqe001","R","volqe001","R","K","F",1,3,"T","T","",0
"ANA201904040",3,1,1,3,1,"BBBCX","troum001","R","troum001","R","volqe001","R","volqe001","R","HR/F8LXD+","F",2,23,"T","T","",0
"ANA201904040",3,1,1,2,2,"BCSBX","bourj002","L","bourj002","L","volqe001","R","volqe001","R","8/F8LS","F",3,2,"T","T","",0
"ANA201904040",3,1,2,2,2,"CBBCX","fletd002","R","fletd002","R","volqe001","R","volqe001","R","S9/L9S+","F",4,20,"T","T","",0
"ANA201904040",3,1,2,3,1,"BBFBB","pujoa001","R","pujoa001","R","volqe001","R","volqe001","R","W.1-2","F",5,14,"T","F","",0
"ANA201904040",3,1,2,2,1,"BCBB","lastt001","L","lastt001","L","volqe001","R","volqe001","R","WP.2-3;1-2","F",6,9,"F","F","",0
"ANA201904040",3,1,2,3,2,"BCBB.CX","lastt001","L","lastt001","L","volqe001","R","volqe001","R","8/L8RD+","F",6,2,"T","T","",0
"ANA201904040",4,0,0,3,2,"CSBBBFX","odorr001","L","odorr001","L","harvm001","R","harvm001","R","43/G34+","F",2,2,"T","T","",0
"ANA201904040",4,0,1,1,2,"SBFX","andre001","R","andre001","R","harvm001","R","harvm001","R","S8/G6M+","F",3,20,"T","T","",0
"ANA201904040",4,0,1,1,0,"B1X","gallj002","L","gallj002","L","harvm001","R","harvm001","R","4/DP.1X1(43)","F",4,2,"T","T","",0
"ANA201904040",4,1,0,1,2,"CBFX","lucrj001","R","lucrj001","R","volqe001","R","volqe001","R","3/F3DF-","F",7,2,"T","T","",0
"ANA201904040",4,1,1,3,0,"BBBB","goodb001","L","goodb001","L","volqe001","R","volqe001","R","W","F",8,14,"T","F","",0
"ANA201904040",4,1,1,3,2,"BCBC1FBX","cozaz001","R","cozaz001","R","volqe001","R","volqe001","R","7/L7M+","F",9,2,"T","T","",0
"ANA201904040",4,1,2,1,2,".FFBS","calhk001","L","calhk001","L","sprij001","L","sprij001","L","K","F",1,3,"T","T","",0
"ANA201904040",5,0,0,0,0,"X","cabra002","L","cabra002","L","harvm001","R","harvm001","R","S7/L6D+","F",5,20,"T","T","",0
"ANA201904040",5,0,0,3,1,"SBBBB","guzmr001","L","guzmr001","L","harvm001","R","harvm001","R","W.1-2","F",6,14,"T","F","",0
"ANA201904040",5,0,0,2,1,".BBCX","forsl001","R","forsl001","R","bardl001","R","bardl001","R","S7/L7S+.2-3;1-2","F",7,20,"T","T","",0
"ANA201904040",5,0,0,1,2,"CBSX","kinei001","R","kinei001","R","bardl001","R","bardl001","R","9/F3D-","F",8,2,"T","T","",0
"ANA201904040",5,0,1,0,2,"CCX","deshd002","R","deshd002","R","bardl001","R","bardl001","R","8/F8LS","F",9,2,"T","T","",0
"ANA201904040",5,0,2,1,1,"C*BX","choos001","L","choos001","L","bardl001","R","bardl001","R","D7/F7S-.3-H;2-H;1-H","F",1,21,"T","T","",0
"ANA201904040",5,0,2,2,2,"BBFSX","odorr001","L","odorr001","L","bardl001","R","bardl001","R","6/F4M-","F",2,2,"T","T","",0
"ANA201904040",5,1,0,2,2,"CCFBBS","troum001","R","troum001","R","sprij001","L","sprij001","L","K","F",2,3,"T","T","",0
"ANA201904040",5,1,1,2,2,"BBCCX","bourj002","L","bourj002","L","sprij001","L","sprij001","L","S7","F",3,20,"T","T","",0
"ANA201904040",5,1,1,0,1,"CX","fletd002","R","fletd002","R","sprij001","L","sprij001","L","8/F89D+","F",4,2,"T","T","",0
"ANA201904040",5,1,2,0,1,"CX","pujoa001","R","pujoa001","R","sprij001","L","sprij001","L","54(1)/FO/G5+","F",5,2,"T","T","",0
"ANA201904040",6,0,0,0,2,"CFX","andre001","R","andre001","R","bardl001","R","bardl001","R","9/F9S-","F",3,2,"T","T","",0
"ANA201904040",6,0,1,3,2,"BSBBSFB","gallj002","L","gallj002","L","bardl001","R","bardl001","R","W","F",4,14,"T","F","",0
"ANA201904040",6,0,1,2,2,"CBFBFX","cabra002","L","cabra002","L","bardl001","R","bardl001","R","36(1)1/GDP/G3+","F",5,2,"T","T","",0
"ANA201904040",6,1,0,3,2,"BCCBFBB","lastt001","L","lastt001","L","sprij001","L","sprij001","L","W","F",6,14,"T","F","",0
"ANA201904040",6,1,0,2,2,"CSBBFFFS","lucrj001","R","lucrj001","R","sprij001","L","sprij001","L","K","F",7,3,"T","T","",0
"ANA201904040",6,1,1,2,2,"CSBBX","goodb001","L","goodb001","L","sprij001","L","sprij001","L","D7/L78D+.1-H;B-3(E6/TH)","F",8,21,"T","T","",0
"ANA201904040",6,1,1,2,2,"BSSBX","cozaz001","R","cozaz001","R","sprij001","L","sprij001","L","8/F8LS","F",9,2,"T","T","",0
"ANA201904040",6,1,2,3,1,"BBBCB","calhk001","L","calhk001","L","sprij001","L","sprij001","L","W","F",1,14,"T","F","",0
"ANA201904040",6,1,2,3,1,"BCBBB","troum001","R","troum001","R","sprij001","L","sprij001","L","W.1-2","F",2,14,"T","F","",0
"ANA201904040",6,1,2,1,0,"BX","bourj002","L","bourj002","L","sprij001","L","sprij001","L","43/G4","F",3,2,"T","T","",0
"ANA201904040",7,0,0,1,2,".CSFBX","guzmr001","L","guzmr001","L","ramin002","R","ramin002","R","5/F56-","F",6,2,"T","T","",0
"ANA201904040",7,0,1,2,2,"BBCFC","forsl001","R","forsl001","R","ramin002","R","ramin002","R","K","F",7,3,"T","T","",0
"ANA201904040",7,0,2,0,2,"FSX","kinei001","R","kinei001","R","ramin002","R","ramin002","R","53/G5","F",8,2,"T","T","",0
"ANA201904040",7,1,0,2,2,".CBBFX","fletd002","R","fletd002","R","gomej002","R","gomej002","R","S9/L89S","F",4,20,"T","T","",0
"ANA201904040",7,1,0,0,1,"CX","pujoa001","R","pujoa001","R","gomej002","R","gomej002","R","S7/L78S.1-2","F",5,20,"T","T","",0
"ANA201904040",7,1,0,2,1,"BCBX","lastt001","L","lastt001","L","gomej002","R","gomej002","R","4/IF/P4D-","F",6,2,"T","T","",0
"ANA201904040",7,1,1,1,2,"CFBX","lucrj001","R","lucrj001","R","gomej002","R","gomej002","R","64(1)3/GDP/G6S","F",7,2,"T","T","",0
"ANA201904040",8,0,0,0,1,".SX","deshd002","R","deshd002","R","bedrc001","R","bedrc001","R","S4/G4MD","F",9,20,"T","T","",0
"ANA201904040",8,0,0,1,1,"BF*B","choos001","L","choos001","L","bedrc001","R","bedrc001","R","WP.1-2","F",1,9,"F","F","",0
"ANA201904040",8,0,0,3,2,"BF*B.F*BF*B","choos001","L","choos001","L","bedrc001","R","bedrc001","R","W","F",1,14,"T","F","",0
"ANA201904040",8,0,0,1,2,"TCB*B","odorr001","L","odorr001","L","bedrc001","R","bedrc001","R","WP.2-3;1-2","F",2,9,"F","F","",0
"ANA201904040",8,0,0,2,2,"TCB*B.S","odorr001","L","odorr001","L","bedrc001","R","bedrc001","R","K","F",2,3,"T","T","",0
"ANA201904040",8,0,1,0,2,"SCFX","andre001","R","andre001","R","bedrc001","R","bedrc001","R","S8/L8LS+.3-H;2-H","F",3,20,"T","T","",0
"ANA201904040",8,0,1,3,2,"SCBBBC","gallj002","L","gallj002","L","bedrc001","R","bedrc001","R","K","F",4,3,"T","T","",0
"ANA201904040",8,0,2,1,1,"FBX","cabra002","L","cabra002","L","bedrc001","R","bedrc001","R","S4/G4.1-3(E4)","F",5,20,"T","T","",0
"ANA201904040",8,0,2,2,2,"SBTBC","guzmr001","L","guzmr001","L","bedrc001","R","bedrc001","R","K","F",6,3,"T","T","",0
"ANA201904040",8,1,0,2,2,".BFBFFFS","goodb001","L","goodb001","L","dowdk001","R","dowdk001","R","K","F",8,3,"T","T","",0
"ANA201904040",8,1,1,1,2,"BCFX","cozaz001","R","cozaz001","R","dowdk001","R","dowdk001","R","23/G2L-","F",9,2,"T","T","",0
"ANA201904040",8,1,2,3,2,"BFFBBS","calhk001","L","calhk001","L","dowdk001","R","dowdk001","R","K","F",1,3,"T","T","",0
"ANA201904040",9,0,0,2,2,"..FBBCFS","forsl001","R","forsl001","R","allec002","R","allec002","R","K","F",7,3,"T","T","",0
"ANA201904040",9,0,1,2,2,"CCBBX","kinei001","R","kinei001","R","allec002","R","allec002","R","63/G6","F",8,2,"T","T","",0
"ANA201904040",9,0,2,3,2,"BFBFBX","deshd002","R","deshd002","R","allec002","R","allec002","R","3/F3DF-","F",9,2,"T","T","",0
"ANA201904040",9,1,0,2,2,"BCSBFS","bourp001","R","bourp001","R","dowdk001","R","dowdk001","R","K+PB.B-1","F",2,3,"T","T","",0
"ANA201904040",9,1,0,0,1,"CX","bourj002","L","bourj002","L","dowdk001","R","dowdk001","R","E3/G34S-.1-2","F",3,18,"T","T","",0
"ANA201904040",9,1,0,1,1,"BCX","fletd002","R","fletd002","R","dowdk001","R","dowdk001","R","63/G6S-.2-3;1-2","F",4,2,"T","T","",0
"ANA201904040",9,1,1,0,2,"CFX","pujoa001","R","pujoa001","R","dowdk001","R","dowdk001","R","53/G5+.3-H(UR)","F",5,2,"T","T","",0
"ANA201904040",9,1,2,1,0,"BX","lastt001","L","lastt001","L","dowdk001","R","dowdk001","R","31/G34S+","F",6,2,"T","T","",0
