"GAME_ID","INN_CT","BAT_HOME_ID","OUTS_CT","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","BAT_ID","BAT_HAND_CD","RESP_BAT_ID","RESP_BAT_HAND_CD","PIT_ID","PIT_HAND_CD","RESP_PIT_ID","RESP_PIT_HAND_CD","EVENT_TX","PH_FL","BAT_LINEUP_ID","EVENT_CD","BAT_EVENT_FL","AB_FL","REMOVED_FOR_PH_BAT_ID","REMOVED_FOR_PH_BAT_FLD_CD"
"ARI201909140",1,0,0,1,1,"BFX","vanmj001","L","vanmj001","L","kellm002","R","kellm002","R","8/F8RD","F",1,2,"T","T","",0
"ARI201909140",1,0,1,0,1,"FX","vottj001","L","vottj001","L","kellm002","R","kellm002","R","S9/L89S","F",2,20,"T","T","",0
"ARI201909140",1,0,1,1,2,"SCBX","suare001","R","suare001","R","kellm002","R","kellm002","R","S7/G56+.1-2","F",3,20,"T","T","",0
"ARI201909140",1,0,1,2,1,"BFBX","aquia001","R","aquia001","R","kellm002","R","kellm002","R","8/F89XD+.2-3","F",4,2,"T","T","",0
"ARI201909140",1,0,2,2,0,"BBX","barnt001","L","barnt001","L","kellm002","R","kellm002","R","43/G34+","F",5,2,"T","T","",0
"ARI201909140",1,1,0,3,2,"BCBBCX","vargi001","L","vargi001","L","desca001","R","desca001","R","43/G4M","F",1,2,"T","T","",0
"ARI201909140",1,1,1,1,1,"BCX","martk001","L","martk001","L","desca001","R","desca001","R","31/G34-","F",2,2,"T","T","",0
"ARI201909140",1,1,2,0,0,"X","escoe001","L","escoe001","L","desca001","R","desca001","R","8/F8RXD+","F",3,2,"T","T","",0
"ARI201909140",2,0,0,3,2,"BSFBBFB","galvf001","L","galvf001","L","kellm002","R","kellm002","R","W","F",6,14,"T","F","",0
"ARI201909140",2,0,0,0,1,"F11","peraj003","R","peraj003","R","kellm002","R","kellm002","R","POCS2(16)","F",7,8,"F","F","",0
"ARI201909140",2,0,1,1,2,"F11.BFX","peraj003","R","peraj003","R","kellm002","R","kellm002","R","4/L4MD+","F",7,2,"T","T","",0
"ARI201909140",2,0,2,0,0,"X","lorem002","R","lorem002","R","kellm002","R","kellm002","R","9/F89XD+","F",8,2,"T","T","",0
"ARI201909140",2,1,0,1,1,"CBX","walkc002","R","walkc002","R","desca001","R","desca001","R","9/F9LMF","F",4,2,"T","T","",0
"ARI201909140",2,1,1,0,2,"CFFC","rojaj001","L","rojaj001","L","desca001","R","desca001","R","K","F",5,3,"T","T","",0
"ARI201909140",2,1,2,3,2,"CBBBFC","kellc002","R","kellc002","R","desca001","R","desca001","R","K","F",6,3,"T","T","",0
"ARI201909140",3,0,0,2,2,"BFCBS","desca001","R","desca001","R","kellm002","R","kellm002","R","K","F",9,3,"T","T","",0
"ARI201909140",3,0,1,3,2,"BCBFBFFX","vanmj001","L","vanmj001","L","kellm002","R","kellm002","R","8/F8LD","F",1,2,"T","T","",0
"ARI201909140",3,0,2,0,0,"X","vottj001","L","vottj001","L","kellm002","R","kellm002","R","63/G6MD","F",2,2,"T","T","",0
"ARI201909140",3,1,0,0,0,"X","ahmen001","R","ahmen001","R","desca001","R","desca001","R","D7/G5.B-3(E7)","F",7,21,"T","T","",0
