"GAME_ID","INN_CT","BAT_HOME_ID","OUTS_CT","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","BAT_ID","BAT_HAND_CD","RESP_BAT_ID","RESP_BAT_HAND_CD","PIT_ID","PIT_HAND_CD","RESP_PIT_ID","RESP_PIT_HAND_CD","EVENT_TX","PH_FL","BAT_LINEUP_ID","EVENT_CD","BAT_EVENT_FL","AB_FL","REMOVED_FOR_PH_BAT_ID","REMOVED_FOR_PH_BAT_FLD_CD"
"BAL201908010",1,0,0,3,2,"FBBFFBB","bichb001","R","bichb001","R","wojca001","R","wojca001","R","W","F",1,14,"T","F","",0
"BAL201908010",1,0,0,1,2,"SCF*BT","biggc002","L","biggc002","L","wojca001","R","wojca001","R","K","F",2,3,"T","T","",0
"BAL201908010",1,0,1,1,2,"CB1FX","guerv002","R","guerv002","R","wojca001","R","wojca001","R","9/L9LM","F",3,2,"T","T","",0
"BAL201908010",1,0,2,2,2,"C*BCBX","smoaj001","L","smoaj001","L","wojca001","R","wojca001","R","3/G34S","F",4,2,"T","T","",0
"BAL201908010",1,1,0,1,0,"BX","villj001","L","villj001","L","thort002","R","thort002","R","8/F8RM","F",1,2,"T","T","",0
"BAL201908010",1,1,1,0,0,"X","manct001","R","manct001","R","thort002","R","thort002","R","53/G56","F",2,2,"T","T","",0
"BAL201908010",1,1,2,2,2,"CBBFFFX","santa003","L","santa003","L","thort002","R","thort002","R","31/G3","F",3,2,"T","T","",0
"BAL201908010",2,0,0,2,2,"FBSBX","gricr001","R","gricr001","R","wojca001","R","wojca001","R","S8/L8RM","F",5,20,"T","T","",0
"BAL201908010",2,0,0,0,2,"FFS","galvf001","L","galvf001","L","wojca001","R","wojca001","R","K","F",6,3,"T","T","",0
"BAL201908010",2,0,1,2,2,"C*BBFT","hernt002","R","hernt002","R","wojca001","R","wojca001","R","K","F",7,3,"T","T","",0
"BAL201908010",2,0,2,1,2,"FB1FX","mckib001","L","mckib001","L","wojca001","R","wojca001","R","5/F6D-","F",8,2,"T","T","",0
"BAL201908010",2,1,0,2,2,"CCBFBX","nuner001","R","nuner001","R","thort002","R","thort002","R","7/F7S","F",4,2,"T","T","",0
"BAL201908010",2,1,1,0,1,"CX","petej002","L","petej002","L","thort002","R","thort002","R","31/G34-","F",5,2,"T","T","",0
"BAL201908010",2,1,2,0,2,"FCFX","siscc001","L","siscc001","L","thort002","R","thort002","R","8/F8RXD+","F",6,2,"T","T","",0
"BAL201908010",3,0,0,2,2,"BBSFX","jansd001","R","jansd001","R","wojca001","R","wojca001","R","6/F78S","F",9,2,"T","T","",0
"BAL201908010",3,0,1,2,2,"BFCBFFT","bichb001","R","bichb001","R","wojca001","R","wojca001","R","K","F",1,3,"T","T","",0
"BAL201908010",3,0,2,1,1,"CBX","biggc002","L","biggc002","L","wojca001","R","wojca001","R","S7/F7S-","F",2,20,"T","T","",0
"BAL201908010",3,0,2,0,0,"X","guerv002","R","guerv002","R","wojca001","R","wojca001","R","HR/F8LXD+.1-H","F",3,23,"T","T","",0
"BAL201908010",3,0,2,3,2,"CFBBBB","smoaj001","L","smoaj001","L","wojca001","R","wojca001","R","W","F",4,14,"T","F","",0
"BAL201908010",3,0,2,0,1,"CX","gricr001","R","gricr001","R","wojca001","R","wojca001","R","4/L6D","F",5,2,"T","T","",0
